timestamp,fx,fy,fz,tx,ty,tz
36.1040752,0.2644457,-0.3064176,-1.4521775,-0.0135303,-0.0174115,-0.0035385
36.1050752,0.1704213,-0.2946642,-1.5561117,-0.0153111,-0.0174952,-0.0030367
36.1060752,0.1964628,-0.2936286,-1.6224201,-0.0138129,-0.0149992,-0.0022717
36.1070752,0.2008125,-0.2809965,-1.6709705,-0.0128811,-0.0141936,-0.0018168
36.1080752,0.2152844,-0.2388675,-1.6389500,-0.0134983,-0.0164022,-0.0011869
36.1090752,0.1943871,-0.2461042,-1.6680220,-0.0127345,-0.0166747,-0.0015060
36.1100752,0.2069971,-0.2318214,-1.6375094,-0.0134446,-0.0168883,-0.0014996
36.1110752,0.2018624,-0.2286206,-1.6157319,-0.0122281,-0.0172937,-0.0012523
36.1120752,0.2060605,-0.2069411,-1.7310946,-0.0112542,-0.0163025,-0.0012127
36.1130752,0.2366954,-0.2138774,-1.7122936,-0.0104457,-0.0170233,-0.0008113
36.1140752,0.2061969,-0.2890337,-1.5409046,-0.0115200,-0.0205576,-0.0023906
36.1150752,0.2117619,-0.2191859,-1.6313508,-0.0123239,-0.0185932,-0.0018067
36.1160752,0.2138555,-0.2606576,-1.5796143,-0.0114924,-0.0166151,-0.0019369
36.1170752,0.2051066,-0.2594042,-1.6281670,-0.0113050,-0.0179543,-0.0014065
36.1180752,0.2255282,-0.1959823,-1.5936044,-0.0112772,-0.0193493,-0.0018691
