Value,Mode,Port,Timestamp Sent,Timestamp Received
29.0,1.0,2.0,55465.0,1761785527146.288
29.0,1.0,3.0,55890.0,1761785527146.7666
29.0,1.0,4.0,55077.0,1761785527147.191
29.0,1.0,5.0,56147.0,1761785527147.5825
28.0,1.0,6.0,56005.0,1761785527147.9578
29.0,1.0,7.0,56142.0,1761785527148.3389
126.0,0.0,0.0,55460.0,1761785527148.7983
29.0,0.0,1.0,55313.0,1761785527149.28
29.0,0.0,2.0,55466.0,1761785527149.768
29.0,0.0,3.0,55904.0,1761785527150.2017
29.0,0.0,4.0,55090.0,1761785527150.5854
29.0,0.0,5.0,56150.0,1761785527150.969
28.0,0.0,6.0,56000.0,1761785527151.3335
-9972.0,0.0,7.0,56141.0,1761785527151.7048
129.0,1.0,0.0,55466.0,1761785527152.0498
29.0,1.0,1.0,55309.0,1761785527152.3809
28.0,1.0,2.0,55461.0,1761785527152.7437
29.0,1.0,3.0,55903.0,1761785527153.0845
29.0,1.0,4.0,55077.0,1761785527153.416
29.0,1.0,5.0,56140.0,1761785527153.7727
29.0,1.0,6.0,55987.0,1761785527154.329
29.0,1.0,7.0,56133.0,1761785527154.8396
126.0,0.0,0.0,55465.0,1761785527155.2847
29.0,0.0,1.0,55313.0,1761785527155.7078
29.0,0.0,2.0,55466.0,1761785527156.068
28.0,0.0,3.0,55901.0,1761785527156.4111
29.0,0.0,4.0,55087.0,1761785527156.774
29.0,0.0,5.0,56147.0,1761785527157.176
29.0,0.0,6.0,55995.0,1761785527157.5889
29.0,0.0,7.0,56151.0,1761785527157.9458
126.0,1.0,0.0,55471.0,1761785527158.3115
29.0,1.0,1.0,55320.0,1761785527158.7515
28.0,1.0,2.0,55466.0,1761785527159.0938
29.0,1.0,3.0,55903.0,1761785527159.4211
29.0,1.0,4.0,55081.0,1761785527159.7449
29.0,1.0,5.0,56150.0,1761785527160.1052
29.0,1.0,6.0,55998.0,1761785527160.4338
29.0,1.0,7.0,56144.0,1761785527160.7517
126.0,0.0,0.0,55468.0,1761785527161.1177
29.0,0.0,1.0,55311.0,1761785527161.46
28.0,0.0,2.0,55464.0,1761785527161.787
29.0,0.0,3.0,55898.0,1761785527162.1306
29.0,0.0,4.0,55083.0,1761785527162.4695
29.0,0.0,5.0,56151.0,1761785527162.7983
29.0,0.0,6.0,56013.0,1761785527163.194
29.0,0.0,7.0,56149.0,1761785527163.9011
126.0,1.0,0.0,55470.0,1761785527164.3213
29.0,1.0,1.0,55313.0,1761785527164.7222
28.0,1.0,2.0,55458.0,1761785527165.1172
29.0,1.0,3.0,55898.0,1761785527165.5278
29.0,1.0,4.0,55081.0,1761785527165.9294
29.0,1.0,5.0,56142.0,1761785527166.334
29.0,1.0,6.0,56004.0,1761785527166.743
29.0,1.0,7.0,56149.0,1761785527167.3025
126.0,0.0,0.0,55483.0,1761785527168.2327
29.0,0.0,1.0,55327.0,1761785527168.6228
28.0,0.0,2.0,55475.0,1761785527168.9998
29.0,0.0,3.0,55911.0,1761785527169.4348
29.0,0.0,4.0,55105.0,1761785527169.8035
29.0,0.0,5.0,56152.0,1761785527170.1567
29.0,0.0,6.0,56004.0,1761785527170.5051
29.0,0.0,7.0,56161.0,1761785527170.8984
